ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2025-11-13 00:00:00+00:00,35,1,42360084,2.05,2.45,2.05,2.35,3,ESZ5 P4550
2025-11-13 00:00:00+00:00,35,1,42471095,11.75,11.75,11.75,11.75,30,ESU6 C8800
2025-11-13 00:00:00+00:00,35,1,466006,2.45,3.6,2.45,3.6,12,ESZ5 P4900
2025-11-13 00:00:00+00:00,35,1,42487843,465.75,465.75,462.5,462.5,92,ESM6 P7150
2025-11-13 00:00:00+00:00,35,1,42427501,282.75,351.5,279.75,350.0,15,ESH6 P7000
2025-11-13 00:00:00+00:00,35,1,42594300,216.0,216.0,191.25,191.25,8,ESZ5 C6675
2025-11-13 00:00:00+00:00,35,1,42621249,19.25,27.5,19.25,27.5,4,ESZ5 P6175
2025-11-13 00:00:00+00:00,35,1,42384726,74.75,85.75,74.75,85.75,27,ESM6 P5500
2025-11-13 00:00:00+00:00,35,1,42366525,14.5,14.5,14.5,14.5,30,ESM6 C8200
2025-11-13 00:00:00+00:00,35,1,42607737,0.65,0.65,0.45,0.45,1469,ESZ5 C7650
2025-11-13 00:00:00+00:00,35,1,434884,0.65,0.65,0.65,0.65,10,ESZ5 P3500
2025-11-13 00:00:00+00:00,35,1,42429674,199.5,229.25,196.0,229.25,22,ESH6 P6700
2025-11-13 00:00:00+00:00,35,1,329308,0.25,0.25,0.25,0.25,7,ESZ5 P2800
2025-11-13 00:00:00+00:00,35,1,42536256,388.0,428.0,388.0,428.0,3,ESH7 P6600
2025-11-13 00:00:00+00:00,35,1,42631591,5.65,5.65,5.65,5.65,5,ESZ5 P5325
2025-11-13 00:00:00+00:00,35,1,434889,0.65,0.85,0.65,0.85,3,ESZ5 P3700
2025-11-13 00:00:00+00:00,35,1,42405134,1.45,1.45,1.35,1.35,2,ESZ5 P4150
2025-11-13 00:00:00+00:00,35,1,42422428,319.25,319.25,269.5,269.5,153,ESH6 C6850
2025-11-13 00:00:00+00:00,35,1,42542217,94.5,124.75,88.0,121.5,149,ESZ5 P6725
2025-11-13 00:00:00+00:00,35,1,559948,15.75,15.75,15.75,15.75,1,ESZ6 P2600
2025-11-13 00:00:00+00:00,35,1,695927,5.35,8.5,5.0,8.5,244,ESZ5 P5400
2025-11-13 00:00:00+00:00,35,1,42428245,40.25,40.5,40.25,40.5,27,ESH6 P5300
2025-11-13 00:00:00+00:00,35,1,306997,8.95,14.5,8.95,14.5,72,ESZ5 P5800
2025-11-13 00:00:00+00:00,35,1,42602552,6.35,6.35,6.35,6.35,33,ESZ6 C9600
2025-11-13 00:00:00+00:00,35,1,42621227,8.65,12.0,8.5,12.0,125,ESZ5 P5675
2025-11-13 00:00:00+00:00,35,1,42427507,341.25,341.25,316.5,317.5,115,ESH6 C6800
2025-11-13 00:00:00+00:00,35,1,42615224,30.25,30.25,30.0,30.0,3,ESH6 C7550
2025-11-13 00:00:00+00:00,35,1,364999,4.6,6.95,4.6,6.95,104,ESZ5 P5300
2025-11-13 00:00:00+00:00,35,1,42404325,20.75,21.0,20.75,21.0,6,ESM6 P3800
2025-11-13 00:00:00+00:00,35,1,42430465,410.25,410.25,410.25,410.25,1,ESH6 C6700
2025-11-13 00:00:00+00:00,35,1,42483458,314.0,381.75,314.0,381.75,105,ESH6 P7050
2025-11-13 00:00:00+00:00,35,1,42491984,45.0,50.25,25.5,26.0,773,ESZ5 C7050
2025-11-13 00:00:00+00:00,35,1,42301262,243.5,243.5,217.5,217.5,2,ESZ6 C7600
2025-11-13 00:00:00+00:00,35,1,42483101,256.5,257.5,213.5,213.5,86,ESH6 C6950
2025-11-13 00:00:00+00:00,35,1,42403724,9.25,9.45,8.5,8.5,150,ESM6 C8400
2025-11-13 00:00:00+00:00,35,1,42594518,5.25,6.5,5.25,6.5,17,ESZ5 P5425
2025-11-13 00:00:00+00:00,35,1,42429672,5.8,6.8,5.75,6.8,15,ESH6 P3300
2025-11-13 00:00:00+00:00,35,1,374331,0.4,0.7,0.4,0.7,370,ESZ5 P3600
2025-11-13 00:00:00+00:00,35,1,42672421,123.0,123.0,110.0,110.0,10,ESH7 C8300
2025-11-13 00:00:00+00:00,35,1,42441336,163.25,163.25,163.25,163.25,23,ESU6 C7550
2025-11-13 00:00:00+00:00,35,1,42387472,1.3,1.3,1.3,1.3,32,ESZ5 P4250
2025-11-13 00:00:00+00:00,35,1,42483259,10.0,10.0,5.45,5.45,2198,ESZ5 C7250
2025-11-13 00:00:00+00:00,35,1,42428996,2.3,2.4,2.3,2.4,4,ESH6 P2500
2025-11-13 00:00:00+00:00,35,1,42394833,3.85,3.85,3.85,3.85,1,ESM6 P2100
